,customer_id,mean_reviews_per_week,total_reviews,avg_sim,unique_products,unique_product_parents,mean_start_rating,percentage_of_links,percentage_of_emails,percentage_of_reviews_from_vine,percentage_of_reviews_verified
0,44855305,1.0,3,0.3532338308457711,3,3,1.3333333333333333,0.67,0.0,0.0,1.0
1,52894341,1.0,2,0.0149253731343283,2,2,2.5,0.0,0.0,0.0,0.0
2,15532751,1.0,3,0.0222222222222222,3,3,4.666666666666667,0.0,0.0,0.0,0.67
3,49648764,1.5,3,0.017094017094017,3,3,3.6666666666666665,0.33,0.0,0.0,1.0
4,25226778,2.0,2,0.0256410256410256,2,2,5.0,0.0,0.0,0.0,1.0
5,15598455,2.0,2,1.0,2,2,4.0,0.0,0.0,0.0,1.0
6,45575279,1.0,2,0.0,2,2,5.0,0.0,0.0,0.0,0.5
7,13418761,1.0,2,0.0131578947368421,2,2,5.0,0.5,0.0,0.0,0.0
8,36402631,1.0,2,0.0,2,2,2.0,0.5,0.0,0.0,1.0
9,42391754,1.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
10,23826451,2.0,2,0.2023809523809523,2,2,5.0,0.0,0.0,0.0,0.0
11,32038204,1.1428571428571428,8,0.092558797368769,8,8,4.75,0.75,0.0,0.0,0.0
12,2830811,1.6666666666666667,5,0.5555555555555556,5,5,3.4,0.0,0.0,0.0,1.0
13,9312568,1.0,2,0.425531914893617,2,2,4.0,1.0,0.0,0.0,0.0
14,38367373,1.0,2,0.0,2,2,3.5,0.0,0.0,0.0,1.0
15,11491447,2.0,2,0.1724137931034483,2,2,3.0,1.0,0.0,0.0,1.0
16,50027179,1.0,8,0.1031886219536558,8,8,4.75,0.88,0.0,0.0,0.12
17,2063075,1.0,2,0.0,2,2,3.0,0.0,0.0,0.0,1.0
18,14544335,1.0,2,0.0,2,2,1.0,0.5,0.0,0.0,0.5
19,1297040,2.0,2,0.081081081081081,2,2,4.0,0.5,0.0,0.0,1.0
20,30554689,2.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
21,49796412,1.5,3,0.0114942528735632,3,3,4.333333333333333,0.33,0.0,0.0,1.0
22,21714269,1.0,4,0.0248333333333333,4,4,4.0,0.25,0.0,0.0,0.75
23,13363427,1.0,2,0.3333333333333333,2,2,5.0,0.0,0.0,0.0,1.0
24,42599998,2.0,2,1.0,2,2,5.0,0.0,0.0,0.0,1.0
25,20737314,1.3333333333333333,4,0.0,4,4,4.0,0.25,0.0,0.0,1.0
26,24187297,1.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
27,21155796,1.0,2,0.0909090909090909,2,2,5.0,0.5,0.0,0.0,0.0
28,18598950,1.0,2,0.05,2,2,4.0,0.0,0.0,0.0,1.0
29,4744072,1.0,2,0.027027027027027,2,2,4.5,0.0,0.0,0.0,1.0
30,44575314,1.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
31,24486730,1.0,2,0.0,2,2,4.0,0.5,0.0,0.0,1.0
32,52831383,1.0,2,0.03125,2,2,4.0,0.0,0.0,0.0,1.0
33,13051014,1.5,3,0.203965238447997,3,3,5.0,0.33,0.0,0.0,0.0
34,16199454,2.0,2,0.0625,2,2,4.0,0.0,0.0,0.0,1.0
35,51545051,1.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
36,50772600,1.0,2,0.1176470588235294,2,2,5.0,0.0,0.0,0.0,1.0
37,38125790,1.0,2,0.0859375,2,2,5.0,1.0,0.0,0.0,0.0
38,12315439,2.0,2,0.1428571428571428,2,2,5.0,0.0,0.0,0.0,1.0
39,164182,2.0,2,0.3333333333333333,2,2,5.0,0.0,0.0,0.0,0.5
40,2346648,2.0,4,0.175,4,4,1.0,0.0,0.0,0.0,0.25
41,40387399,1.0,3,0.0303030303030303,3,3,4.333333333333333,0.0,0.0,0.0,1.0
42,41860765,1.0,2,0.1074380165289256,2,2,4.0,1.0,0.0,0.0,0.0
43,18671140,2.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
44,827710,3.0,3,0.1789529914529914,3,3,4.666666666666667,0.67,0.0,0.0,0.0
45,21878825,1.0,2,0.0735294117647058,2,2,1.5,0.5,0.0,0.0,0.5
46,17161940,1.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
47,40261565,1.0,2,0.0208333333333333,2,2,4.5,0.5,0.0,0.0,1.0
48,47916002,1.0,5,0.0129081693735908,5,5,2.8,0.2,0.0,0.0,0.0
49,52486291,1.0,2,0.0741687979539642,2,2,5.0,1.0,0.0,0.0,0.0
50,33544588,1.0,2,0.0,2,2,3.0,0.0,0.0,0.0,1.0
51,49857940,1.5,3,0.3623188405797101,3,3,4.666666666666667,0.0,0.0,0.0,1.0
52,42818234,1.0,2,0.1233933161953727,2,2,4.0,1.0,0.0,0.0,0.0
53,29640657,1.0,2,0.0,2,2,3.0,0.5,0.0,0.0,0.5
54,40451634,1.0,2,0.2525252525252525,2,2,5.0,1.0,0.0,0.0,0.0
55,10321994,2.0,2,0.5,2,2,5.0,0.0,0.0,0.0,0.0
56,14267246,1.0,2,0.4285714285714285,2,2,1.0,0.0,0.0,0.0,1.0
57,21821636,1.0,2,0.1063829787234042,2,2,1.0,0.0,0.0,0.0,0.0
58,10127550,1.0,2,0.0625,2,2,3.0,0.0,0.0,0.0,1.0
59,49523782,1.0,2,0.074074074074074,2,2,4.0,1.0,0.0,0.0,0.0
60,11144211,2.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
61,38746901,1.0,2,0.0209790209790209,2,2,3.0,0.5,0.0,0.0,1.0
62,809002,1.0,2,0.0,2,2,4.0,0.0,0.0,0.0,1.0
63,2335998,1.0,2,0.0,2,2,3.0,0.0,0.0,0.0,0.5
64,47684136,2.0,2,1.0,2,2,5.0,0.0,0.0,0.0,1.0
65,39315534,1.0,2,0.0217391304347826,2,2,2.5,0.0,0.0,0.0,1.0
66,8228438,1.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
67,32273935,1.0,3,0.1838863938619025,3,3,4.666666666666667,0.67,0.0,0.0,0.0
68,199510,2.0,2,0.0666666666666666,2,2,5.0,0.0,0.0,0.0,0.0
69,44207452,2.0,2,0.0,2,2,5.0,0.0,0.0,0.0,1.0
70,50784610,2.0,2,0.25,2,2,5.0,0.0,0.0,0.0,1.0
71,24002935,2.0,2,0.5,2,2,1.0,0.0,0.0,0.0,1.0
72,15289473,1.0,2,0.0576923076923076,2,2,3.0,1.0,0.0,0.0,1.0
73,20361200,2.0,2,1.0,2,2,5.0,0.0,0.0,0.0,1.0
74,22663692,2.0,2,0.1111111111111111,2,2,5.0,0.0,0.0,0.0,1.0
75,50017673,1.0,2,0.0426829268292682,2,2,5.0,0.5,0.0,0.0,0.0
76,46364499,1.0,2,0.0666666666666666,2,2,5.0,0.0,0.0,0.0,1.0
